Postcode,Country Code,Gma,GmaCanonicalName,CityCanonicalName
48101,US,505,"Detroit,Michigan,United States","Allen Park,Michigan,United States"
48103,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48104,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48105,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48106,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48107,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48108,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48109,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48110,US,505,"Detroit,Michigan,United States","Azalia,Michigan,United States"
48111,US,505,"Detroit,Michigan,United States","Van Buren Charter Township,Michigan,United States"
48112,US,505,"Detroit,Michigan,United States","Belleville,Michigan,United States"
48113,US,505,"Detroit,Michigan,United States","Ann Arbor,Michigan,United States"
48114,US,505,"Detroit,Michigan,United States","Brighton,Michigan,United States"
48115,US,505,"Detroit,Michigan,United States","Bridgewater,Michigan,United States"
48116,US,505,"Detroit,Michigan,United States","Brighton,Michigan,United States"
48117,US,505,"Detroit,Michigan,United States","Carleton,Michigan,United States"
48118,US,505,"Detroit,Michigan,United States","Chelsea,Michigan,United States"
48120,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48121,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48122,US,505,"Detroit,Michigan,United States","Melvindale,Michigan,United States"
48123,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48124,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48125,US,505,"Detroit,Michigan,United States","Dearborn Heights,Michigan,United States"
48126,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48127,US,505,"Detroit,Michigan,United States","Dearborn Heights,Michigan,United States"
48128,US,505,"Detroit,Michigan,United States","Dearborn,Michigan,United States"
48130,US,505,"Detroit,Michigan,United States","Dexter,Michigan,United States"
48131,US,505,"Detroit,Michigan,United States","Dundee,Michigan,United States"
48133,US,505,"Detroit,Michigan,United States","Luna Pier,Michigan,United States"
48135,US,505,"Detroit,Michigan,United States","Garden City,Michigan,United States"
48136,US,505,"Detroit,Michigan,United States","Garden City,Michigan,United States"
48138,US,505,"Detroit,Michigan,United States","Grosse Ile Township,Michigan,United States"
48141,US,505,"Detroit,Michigan,United States","Inkster,Michigan,United States"
48144,US,505,"Detroit,Michigan,United States","Lambertville,Michigan,United States"
48145,US,505,"Detroit,Michigan,United States","Monroe Charter Township,Michigan,United States"
48146,US,505,"Detroit,Michigan,United States","Lincoln Park,Michigan,United States"
48150,US,505,"Detroit,Michigan,United States","Livonia,Michigan,United States"
48151,US,505,"Detroit,Michigan,United States","Livonia,Michigan,United States"
48152,US,505,"Detroit,Michigan,United States","Livonia,Michigan,United States"
48153,US,505,"Detroit,Michigan,United States","Livonia,Michigan,United States"
48154,US,505,"Detroit,Michigan,United States","Livonia,Michigan,United States"
48157,US,505,"Detroit,Michigan,United States","Luna Pier,Michigan,United States"
